id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
3809526,2016/08/04 4:40 PM CDT,2016-08-04,2016-08-04 21:40:00 UTC,Central Time (US & Canada),11469,kevinparker,Kevin Parker,2016-08-05 22:49:33 UTC,2021-07-30 07:32:16 UTC,research,CC-BY-SA,http://www.inaturalist.org/observations/3809526,https://inaturalist-open-data.s3.amazonaws.com/photos/4451947/medium.jpg,,"",,2,0,false,,30.206566,-97.818613,Beelzebub Bee-killer,Mallophora leschenaulti,Beelzebub Bee-eater,Insecta,205618,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Asiloidea,Asilidae,Asilinae,,Apocleini,,Mallophora,,Mallophora leschenaulti,,,,
4841693,2013/05/25 ,2013-05-25,,Eastern Time (US & Canada),138422,jacobogre,Jacob Malcom,2016-12-25 13:20:51 UTC,2019-02-25 16:58:56 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/4841693,https://inaturalist-open-data.s3.amazonaws.com/photos/5878360/medium.jpeg,,"","",7,0,false,,30.281970443,-97.6765196206,Green Anole,Anolis carolinensis,Green Anole,Reptilia,36514,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Anolidae,,,,,Anolis,,Anolis carolinensis,,,,
6926734,2017/07/04 3:26 PM CDT,2017-07-04,2017-07-04 20:26:00 UTC,Central Time (US & Canada),11469,kevinparker,Kevin Parker,2017-07-05 05:19:57 UTC,2022-02-17 05:55:40 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/6926734,https://inaturalist-open-data.s3.amazonaws.com/photos/8846779/medium.jpg,,"",,2,0,false,,30.2065605833,-97.8187478889,Xylocopa tabaniformis parkinsoniae,Xylocopa tabaniformis parkinsoniae,Parkinsonia Horse-fly Carpenter,Insecta,325907,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,,Xylocopa tabaniformis,,Xylocopa tabaniformis parkinsoniae,,
7567201,2017/08/19 2:01 AM CDT,2017-08-19,2017-08-19 07:01:00 UTC,Central Time (US & Canada),11469,kevinparker,Kevin Parker,2017-08-20 06:54:56 UTC,2022-01-14 00:09:13 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/7567201,https://inaturalist-open-data.s3.amazonaws.com/photos/9880624/medium.jpg,,"",Approximately 1.2 meters long,4,0,false,,30.1942356944,-97.8356798889,Western Diamondback Rattlesnake,Crotalus atrox,Western Diamond-backed Rattlesnake,Reptilia,30764,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Viperidae,Crotalinae,,,,Crotalus,,Crotalus atrox,,,,
7732222,2017/08/31 5:35 PM CDT,2017-08-31,2017-08-31 22:35:00 UTC,Central Time (US & Canada),11469,kevinparker,Kevin Parker,2017-09-01 00:53:13 UTC,2017-11-21 21:39:54 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/7732222,https://inaturalist-open-data.s3.amazonaws.com/photos/10146241/medium.jpg,,"",Found dead with ants (pictured) on ground in back yard.,1,0,false,,30.2065221944,-97.8186415833,Beelzebub Bee-eater,Mallophora leschenaulti,Beelzebub Bee-eater,Insecta,205618,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Asiloidea,Asilidae,Asilinae,,Apocleini,,Mallophora,,Mallophora leschenaulti,,,,
8201482,Sat Dec 26 2015 12:00:39 GMT-0500 (EST),2015-12-26,2015-12-26 17:00:39 UTC,Eastern Time (US & Canada),382654,abookb,Antonia Bookbinder,2017-10-01 13:24:18 UTC,2017-10-01 16:13:49 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/8201482,https://inaturalist-open-data.s3.amazonaws.com/photos/10863738/medium.jpg,,"",,1,0,false,3,30.1934949772,-97.8294771724,small ballmoss,Tillandsia recurvata,ballmoss,Plantae,84002,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Bromeliaceae,Tillandsioideae,,,,Tillandsia,,Tillandsia recurvata,,,,
8201533,Tue Dec 22 2015 12:00:42 GMT-0500 (EST),2015-12-22,2015-12-22 17:00:42 UTC,Eastern Time (US & Canada),382654,abookb,Antonia Bookbinder,2017-10-01 13:28:42 UTC,2022-04-04 08:34:07 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/8201533,https://inaturalist-open-data.s3.amazonaws.com/photos/10863800/medium.jpg,,"",,3,0,false,3,30.1934671441,-97.8297133277,Red Admiral,Vanessa atalanta,Red Admiral,Insecta,49133,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,,Nymphalini,,Vanessa,,Vanessa atalanta,,,,
10342897,2018/03/09 5:25 PM CST,2018-03-09,2018-03-09 23:25:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-03-21 17:36:48 UTC,2021-03-31 20:54:30 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/10342897,https://inaturalist-open-data.s3.amazonaws.com/photos/14342333/medium.jpeg,,"",,4,0,false,,30.2903201362,-97.7308344841,Texas Cichlid,Herichthys cyanoguttatus,Texas Cichlid,Actinopterygii,102649,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Cichliformes,,,Cichlidae,Cichlinae,,,,Herichthys,,Herichthys cyanoguttatus,,,,
10342898,2018/03/09 5:25 PM CST,2018-03-09,2018-03-09 23:25:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-03-21 17:36:49 UTC,2018-05-21 20:33:31 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/10342898,https://inaturalist-open-data.s3.amazonaws.com/photos/14342334/medium.jpeg,,"",,2,0,false,,30.2903201362,-97.7308344841,Central Stoneroller,Campostoma anomalum,Central Stoneroller,Actinopterygii,96631,Animalia,Chordata,Vertebrata,,Actinopterygii,,Ostariophysi,Cypriniformes,Cyprinoidei,,Leuciscidae,Pogonichthyinae,,,,Campostoma,,Campostoma anomalum,,,,
10342899,2018/03/09 5:25 PM CST,2018-03-09,2018-03-09 23:25:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-03-21 17:36:49 UTC,2018-05-21 20:34:37 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/10342899,https://inaturalist-open-data.s3.amazonaws.com/photos/14342335/medium.jpeg,,"",,2,0,false,,30.2903201362,-97.7308344841,Variable Platyfish,Xiphophorus variatus,Variable Platyfish,Actinopterygii,179440,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Cyprinodontiformes,Cyprinodontoidei,,Poeciliidae,Poeciliinae,,,,Xiphophorus,,Xiphophorus variatus,,,,
10342901,2018/03/09 5:27 PM CST,2018-03-09,2018-03-09 23:27:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-03-21 17:36:50 UTC,2020-04-08 23:54:34 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/10342901,https://inaturalist-open-data.s3.amazonaws.com/photos/14342338/medium.jpeg,,"","",2,0,false,,30.2903201362,-97.7308344841,Red Swamp Crayfish,Procambarus clarkii,Red Swamp Crayfish,Animalia,51221,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Astacoidea,Cambaridae,,,,,Procambarus,,Procambarus clarkii,,,,
13118607,2018/05/24 10:43 AM CDT,2018-05-24,2018-05-24 15:43:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-06-04 17:54:18 UTC,2018-06-15 22:32:32 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13118607,https://inaturalist-open-data.s3.amazonaws.com/photos/19122567/medium.jpeg,,"",,3,0,false,,30.5135686418,-97.7549321928,Blacktail Shiner,Cyprinella venusta,Western Blacktail Shiner,Actinopterygii,98912,Animalia,Chordata,Vertebrata,,Actinopterygii,,Ostariophysi,Cypriniformes,Cyprinoidei,,Leuciscidae,Pogonichthyinae,,,,Cyprinella,,Cyprinella venusta,,,,
13118611,2018/05/24 10:43 AM CDT,2018-05-24,2018-05-24 15:43:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-06-04 17:54:19 UTC,2018-06-15 22:32:14 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13118611,https://inaturalist-open-data.s3.amazonaws.com/photos/19122576/medium.jpeg,,"",,2,0,false,,30.5135686418,-97.7549321928,Western Mosquitofish,Gambusia affinis,Western Mosquitofish,Actinopterygii,59115,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Cyprinodontiformes,Cyprinodontoidei,,Poeciliidae,Poeciliinae,,,,Gambusia,,Gambusia affinis,,,,
13118612,2018/05/24 10:44 AM CDT,2018-05-24,2018-05-24 15:44:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-06-04 17:54:19 UTC,2024-03-03 02:28:31 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13118612,https://inaturalist-open-data.s3.amazonaws.com/photos/19122591/medium.jpeg,,"",,2,0,false,,30.5135686418,-97.7549321928,Inland Silverside,Menidia beryllina,Inland Silverside,Actinopterygii,105567,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Atheriniformes,,,Atherinopsidae,Menidiinae,,,,Menidia,,Menidia beryllina,,,,
13118616,2018/05/24 10:49 AM CDT,2018-05-24,2018-05-24 15:49:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-06-04 17:54:20 UTC,2018-06-05 09:44:40 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13118616,https://inaturalist-open-data.s3.amazonaws.com/photos/19122609/medium.jpeg,,"",,1,0,false,,30.5135686418,-97.7549321928,European Carp,Cyprinus carpio,Common Carp,Actinopterygii,53911,Animalia,Chordata,Vertebrata,,Actinopterygii,,Ostariophysi,Cypriniformes,Cyprinoidei,,Cyprinidae,Cyprininae,,,,Cyprinus,,Cyprinus carpio,,,,
13118619,2018/05/24 10:51 AM CDT,2018-05-24,2018-05-24 15:51:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-06-04 17:54:21 UTC,2021-06-26 00:47:56 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13118619,https://inaturalist-open-data.s3.amazonaws.com/photos/19122621/medium.jpeg,,"",,4,0,false,,30.5135686418,-97.7549321928,Texas Cichlid,Herichthys cyanoguttatus,Texas Cichlid,Actinopterygii,102649,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Cichliformes,,,Cichlidae,Cichlinae,,,,Herichthys,,Herichthys cyanoguttatus,,,,
13118621,2018/05/24 10:54 AM CDT,2018-05-24,2018-05-24 15:54:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-06-04 17:54:21 UTC,2018-06-15 22:32:12 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13118621,https://inaturalist-open-data.s3.amazonaws.com/photos/19122630/medium.jpeg,,"",,2,0,false,,30.5135686418,-97.7549321928,Bluegill,Lepomis macrochirus,Bluegill,Actinopterygii,49591,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Centrarchiformes,Centrarchoidei,,Centrarchidae,Lepominae,,,,Lepomis,,Lepomis macrochirus,,,,
13118622,2018/05/24 10:57 AM CDT,2018-05-24,2018-05-24 15:57:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-06-04 17:54:23 UTC,2023-03-23 12:05:29 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13118622,https://inaturalist-open-data.s3.amazonaws.com/photos/19122644/medium.jpeg,,"",,4,0,false,,30.5135686418,-97.7549321928,Sailfin Molly,Poecilia latipinna,Sailfin Molly,Actinopterygii,109885,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Cyprinodontiformes,Cyprinodontoidei,,Poeciliidae,Poeciliinae,,,,Poecilia,,Poecilia latipinna,,,,
13118623,2018/05/24 10:55 AM CDT,2018-05-24,2018-05-24 15:55:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-06-04 17:54:23 UTC,2018-06-15 22:32:06 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13118623,https://inaturalist-open-data.s3.amazonaws.com/photos/19122637/medium.jpeg,,"",,2,0,false,,30.5135686418,-97.7549321928,Redbreast Sunfish,Lepomis auritus,Redbreast Sunfish,Actinopterygii,85365,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Centrarchiformes,Centrarchoidei,,Centrarchidae,Lepominae,,,,Lepomis,,Lepomis auritus,,,,
13118624,2018/05/24 10:57 AM CDT,2018-05-24,2018-05-24 15:57:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-06-04 17:54:23 UTC,2021-01-02 14:45:07 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13118624,https://inaturalist-open-data.s3.amazonaws.com/photos/19122661/medium.jpeg,,"","",2,0,false,,30.5135686418,-97.7549321928,Etheostoma spectabile pulchellum,Etheostoma spectabile pulchellum,Plains Orangethroat Darter,Actinopterygii,235927,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Percoidei,,Percidae,Etheostomatinae,,,,Etheostoma,,Etheostoma spectabile,,Etheostoma spectabile pulchellum,,
13118626,2018/05/24 10:47 AM CDT,2018-05-24,2018-05-24 15:47:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-06-04 17:54:25 UTC,2020-04-08 23:53:35 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13118626,https://inaturalist-open-data.s3.amazonaws.com/photos/19122772/medium.jpeg,,"",,2,0,false,,30.5135686418,-97.7549321928,Red Swamp Crayfish,Procambarus clarkii,Red Swamp Crayfish,Animalia,51221,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Astacoidea,Cambaridae,,,,,Procambarus,,Procambarus clarkii,,,,
13118627,2018/05/24 10:58 AM CDT,2018-05-24,2018-05-24 15:58:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-06-04 17:54:25 UTC,2024-03-02 00:09:15 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13118627,https://inaturalist-open-data.s3.amazonaws.com/photos/19122676/medium.jpeg,,"",,3,0,false,,30.5135686418,-97.7549321928,Central Stoneroller,Campostoma anomalum,Central Stoneroller,Actinopterygii,96631,Animalia,Chordata,Vertebrata,,Actinopterygii,,Ostariophysi,Cypriniformes,Cyprinoidei,,Leuciscidae,Pogonichthyinae,,,,Campostoma,,Campostoma anomalum,,,,
13118707,2018/05/24 10:47 AM CDT,2018-05-24,2018-05-24 15:47:00 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2018-06-04 17:57:33 UTC,2020-04-08 23:53:31 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13118707,https://inaturalist-open-data.s3.amazonaws.com/photos/19123152/medium.jpeg,,"","",2,0,false,,30.5135686418,-97.7549321928,Red Swamp Crayfish,Procambarus clarkii,Red Swamp Crayfish,Animalia,51221,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Astacoidea,Cambaridae,,,,,Procambarus,,Procambarus clarkii,,,,
13664947,Thu Jun 21 2018 14:32:48 GMT-0500 (CDT),2018-06-21,2018-06-21 19:32:48 UTC,Central Time (US & Canada),43591,wildcarrot,Meghan Cassidy,2018-06-22 11:48:19 UTC,2018-08-16 21:42:29 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13664947,https://inaturalist-open-data.s3.amazonaws.com/photos/20121897/medium.jpg,,"",,2,0,false,3,30.282705,-97.7786633333,Turk's cap,Malvaviscus arboreus,Turk's cap,Plantae,120942,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,Malvaceae,Malvoideae,,Hibisceae,,Malvaviscus,,Malvaviscus arboreus,,,,
13664958,Thu Jun 21 2018 14:47:23 GMT-0500 (CDT),2018-06-21,2018-06-21 19:47:23 UTC,Central Time (US & Canada),43591,wildcarrot,Meghan Cassidy,2018-06-22 11:48:53 UTC,2018-09-05 05:21:51 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13664958,https://inaturalist-open-data.s3.amazonaws.com/photos/20121916/medium.jpg,,"",,1,0,false,3,30.2817166667,-97.780625,Globular Drop,Helicina orbiculata,Globular Drop Snail,Mollusca,126257,Animalia,Mollusca,,,Gastropoda,Neritimorpha,,Cycloneritida,,Helicinoidea,Helicinidae,Helicininae,,,,Helicina,,Helicina orbiculata,,,,
13664965,Thu Jun 21 2018 14:49:25 GMT-0500 (CDT),2018-06-21,2018-06-21 19:49:25 UTC,Central Time (US & Canada),43591,wildcarrot,Meghan Cassidy,2018-06-22 11:49:23 UTC,2018-08-16 21:42:39 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13664965,https://inaturalist-open-data.s3.amazonaws.com/photos/20121929/medium.jpg,,"",,1,0,false,3,30.281675,-97.780525,Prairie Rabdotus,Rabdotus mooreanus,Prairie Rabdotus,Mollusca,171844,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Orthalicoidea,Bulimulidae,Bulimulinae,,,,Rabdotus,,Rabdotus mooreanus,,,,
13665003,Thu Jun 21 2018 14:51:35 GMT-0500 (CDT),2018-06-21,2018-06-21 19:51:35 UTC,Central Time (US & Canada),43591,wildcarrot,Meghan Cassidy,2018-06-22 11:52:05 UTC,2018-08-16 21:43:02 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13665003,https://inaturalist-open-data.s3.amazonaws.com/photos/20122022/medium.jpg,,"",,1,0,false,3,30.2818116667,-97.7805333333,Johnson grass,Sorghum halepense,Johnson grass,Plantae,58387,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Panicoideae,,Andropogoneae,Sorghinae,Sorghum,,Sorghum halepense,,,,
13665019,Thu Jun 21 2018 15:08:53 GMT-0500 (CDT),2018-06-21,2018-06-21 20:08:53 UTC,Central Time (US & Canada),43591,wildcarrot,Meghan Cassidy,2018-06-22 11:52:41 UTC,2021-08-02 20:36:45 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13665019,https://inaturalist-open-data.s3.amazonaws.com/photos/20122028/medium.jpg,,"",On Eamonn’s hand ,1,0,false,3,30.28015,-97.778655,Eastern Black Carpenter Ant,Camponotus pennsylvanicus,Eastern Black Carpenter Ant,Insecta,129902,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Formicoidea,Formicidae,Formicinae,,Camponotini,,Camponotus,,Camponotus pennsylvanicus,,,,
13665024,Thu Jun 21 2018 15:23:09 GMT-0500 (CDT),2018-06-21,2018-06-21 20:23:09 UTC,Central Time (US & Canada),43591,wildcarrot,Meghan Cassidy,2018-06-22 11:53:08 UTC,2018-08-16 21:42:28 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13665024,https://inaturalist-open-data.s3.amazonaws.com/photos/20122044/medium.jpg,,"",,2,0,false,3,30.2821033333,-97.7789166667,Heavenly bamboo,Nandina domestica,Heavenly bamboo,Plantae,127010,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Berberidaceae,Nandinoideae,,,,Nandina,,Nandina domestica,,,,
